id,balance,actualdate,paiddate,feepaid,modeofpayement,remarks,month,test
1,0,2018-07-15,,0,,,7,1
1,0,2018-08-15,,0,,,8,2
1,0,2018-09-15,,0,,,9,3
1,0,2018-10-15,,0,,,10,4
1,0,2018-11-15,,0,,,11,5
1,0,2018-12-15,,0,,,12,6
1,0,2019-01-15,,0,,,1,7
1,0,2019-02-15,,0,,,2,8
1,0,2019-03-15,,0,,,3,9
1,0,2019-04-15,,0,,,4,10
1,0,2019-05-15,,0,,,5,11
1,0,2019-06-15,,0,,,6,12
2,0,2018-07-15,,0,,,7,1
2,0,2018-08-15,,0,,,8,2
2,0,2018-09-15,,0,,,9,3
2,0,2018-10-15,,0,,,10,4
2,0,2018-11-15,,0,,,11,5
2,0,2018-12-15,,0,,,12,6
2,0,2019-01-15,,0,,,1,7
2,0,2019-02-15,,0,,,2,8
2,0,2019-03-15,,0,,,3,9
2,0,2019-04-15,,0,,,4,10
2,0,2019-05-15,,0,,,5,11
2,0,2019-06-15,,0,,,6,12
3,0,2018-07-19,,0,,,7,1
3,0,2018-08-19,,0,,,8,2
3,0,2018-09-19,,0,,,9,3
3,0,2018-10-19,,0,,,10,4
3,0,2018-11-19,,0,,,11,5
3,0,2018-12-19,,0,,,12,6
3,0,2019-01-19,,0,,,1,7
3,0,2019-02-19,,0,,,2,8
3,0,2019-03-19,,0,,,3,9
3,0,2019-04-19,,0,,,4,10
3,0,2019-05-19,,0,,,5,11
3,0,2019-06-19,,0,,,6,12
4,0,2018-07-19,,0,,,7,1
4,0,2018-08-19,,0,,,8,2
4,0,2018-09-19,,0,,,9,3
4,0,2018-10-19,,0,,,10,4
4,0,2018-11-19,,0,,,11,5
4,0,2018-12-19,,0,,,12,6
4,0,2019-01-19,,0,,,1,7
4,0,2019-02-19,,0,,,2,8
4,0,2019-03-19,,0,,,3,9
4,0,2019-04-19,,0,,,4,10
4,0,2019-05-19,,0,,,5,11
4,0,2019-06-19,,0,,,6,12
5,0,2018-07-20,,0,,,7,1
5,0,2018-08-20,,0,,,8,2
5,0,2018-09-20,,0,,,9,3
5,0,2018-10-20,,0,,,10,4
5,0,2018-11-20,,0,,,11,5
5,0,2018-12-20,,0,,,12,6
5,0,2019-01-20,,0,,,1,7
5,0,2019-02-20,,0,,,2,8
5,0,2019-03-20,,0,,,3,9
5,0,2019-04-20,,0,,,4,10
5,0,2019-05-20,,0,,,5,11
5,0,2019-06-20,,0,,,6,12
6,0,2018-07-21,,0,,,7,1
6,0,2018-08-21,,0,,,8,2
6,0,2018-09-21,,0,,,9,3
6,0,2018-10-21,,0,,,10,4
6,0,2018-11-21,,0,,,11,5
6,0,2018-12-21,,0,,,12,6
6,0,2019-01-21,,0,,,1,7
6,0,2019-02-21,,0,,,2,8
6,0,2019-03-21,,0,,,3,9
6,0,2019-04-21,,0,,,4,10
6,0,2019-05-21,,0,,,5,11
6,0,2019-06-21,,0,,,6,12
7,0,2018-07-23,,0,,,7,1
7,0,2018-08-23,,0,,,8,2
7,0,2018-09-23,,0,,,9,3
7,0,2018-10-23,,0,,,10,4
7,0,2018-11-23,,0,,,11,5
7,0,2018-12-23,,0,,,12,6
7,0,2019-01-23,,0,,,1,7
7,0,2019-02-23,,0,,,2,8
7,0,2019-03-23,,0,,,3,9
7,0,2019-04-23,,0,,,4,10
7,0,2019-05-23,,0,,,5,11
7,0,2019-06-23,,0,,,6,12
8,0,2018-07-29,,0,,,7,1
8,0,2018-08-29,,0,,,8,2
8,0,2018-09-29,,0,,,9,3
8,0,2018-10-29,,0,,,10,4
8,0,2018-11-29,,0,,,11,5
8,0,2018-12-29,,0,,,12,6
8,0,2019-01-29,,0,,,1,7
8,0,2019-02-28,,0,,,2,8
8,0,2019-03-29,,0,,,3,9
8,0,2019-04-29,,0,,,4,10
8,0,2019-05-29,,0,,,5,11
8,0,2019-06-29,,0,,,6,12
9,0,2018-07-29,,0,,,7,1
9,0,2018-08-29,,0,,,8,2
9,0,2018-09-29,,0,,,9,3
9,0,2018-10-29,,0,,,10,4
9,0,2018-11-29,,0,,,11,5
9,0,2018-12-29,,0,,,12,6
9,0,2019-01-29,,0,,,1,7
9,0,2019-02-28,,0,,,2,8
9,0,2019-03-29,,0,,,3,9
9,0,2019-04-29,,0,,,4,10
9,0,2019-05-29,,0,,,5,11
9,0,2019-06-29,,0,,,6,12
10,0,2018-07-29,,0,,,7,1
10,0,2018-08-29,,0,,,8,2
10,0,2018-09-29,,0,,,9,3
10,0,2018-10-29,,0,,,10,4
10,0,2018-11-29,,0,,,11,5
